IdValeSalida,IdProducto,PrecioCosto,Pventa,Cantidad,Saldo,idvalearea
76,9,80,200,1,,2
77,11,135,300,1,,6
77,9,80,200,1,,6
78,11,135,300,1,,2
79,12,135,350,1,,3
80,12,135,350,2,,3
80,9,80,200,1,,3
81,9,80,200,1,,1
82,9,80,200,1,,1
83,9,80,200,1,,1
84,9,80,200,1,,4
85,13,135,350,1,,3
85,12,135,350,1,,3
86,10,150,250,1,,1
87,9,80,200,1,,2
88,9,80,200,1,,3
89,9,80,200,1,,1
90,9,80,200,1,,5
91,9,80,200,1,,3
91,9,80,200,1,,3
92,4,183,350,1,,5
93,11,135,300,1,,3
94,11,135,300,1,,1
95,11,135,300,1,,4
96,9,80,200,1,,3
97,10,150,250,1,,4
97,9,80,200,1,,4
98,4,183,350,1,,4
99,9,80,200,1,,3
100,4,183,350,1,,3
101,9,80,200,1,,3
101,14,100,250,1,,3
101,14,100,250,1,,3
102,9,80,200,1,,4
103,9,80,200,1,,4
104,9,80,200,1,,4
105,9,80,200,1,,1
106,9,80,200,1,,4
107,10,150,250,1,,4
108,13,135,350,1,,3
109,12,135,350,1,,4
110,13,135,350,1,,4
111,13,135,350,1,,3
112,4,183,350,1,,2
113,13,135,350,1,,4
114,12,135,350,1,,3
115,12,135,350,1,,5
116,7,145,350,1,,2
117,9,80,200,1,,3
118,13,135,350,1,,1
119,13,135,350,1,,3
120,10,150,250,1,,2
121,11,135,300,1,,4
122,11,135,300,1,,3
123,11,135,300,1,,2
124,13,135,350,1,,4
125,11,135,300,1,,4
125,11,135,300,1,,4
126,9,80,200,1,,2
127,11,135,300,1,,3
128,11,135,300,1,,1
129,1,109,250,1,,6
130,16,100,200,1,,4
131,1,109,250,1,,3
132,1,109,250,1,,4
133,1,109,250,1,,3
134,11,135,300,1,,1
134,16,100,200,1,,1
135,9,80,200,1,,3
135,11,135,300,1,,3
136,13,135,350,1,,3
137,16,100,200,1,,2
138,16,100,200,1,,4
139,13,135,350,1,,1
139,13,135,350,1,,1
140,13,135,350,2,,1
141,16,100,200,1,,1
142,1,109,250,1,,3
143,16,100,200,1,,2
