IdValeSalida,NoConsecutivo,Fecha,Destino,Inventariada,Nota,Exportada,Periodo,DiezPorciento,año
91,91,"06/15/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"6/2023",0,2023
92,92,"06/15/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"6/2023",0,2023
93,93,"06/16/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"6/2023",0,2023
94,94,"06/16/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"6/2023",0,2023
95,95,"06/17/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"6/2023",0,2023
96,96,"06/17/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"6/2023",0,2023
97,97,"06/17/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"6/2023",0,2023
98,98,"06/17/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"6/2023",0,2023
99,99,"06/17/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"6/2023",0,2023
100,100,"06/17/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"6/2023",0,2023
101,101,"06/20/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"6/2023",0,2023
102,102,"06/20/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"6/2023",0,2023
103,103,"06/20/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"6/2023",0,2023
104,104,"06/20/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"6/2023",0,2023
105,105,"06/20/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"6/2023",0,2023
106,106,"06/20/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"6/2023",0,2023
107,107,"06/20/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"6/2023",0,2023
108,108,"06/23/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"6/2023",0,2023
109,109,"06/23/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"6/2023",0,2023
110,110,"06/23/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"6/2023",0,2023
111,111,"06/23/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"6/2023",0,2023
112,112,"06/23/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"6/2023",0,2023
113,113,"06/23/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"6/2023",0,2023
114,114,"06/24/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"6/2023",0,2023
115,115,"06/24/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"6/2023",0,2023
116,116,"06/24/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"6/2023",0,2023
117,117,"06/24/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"6/2023",0,2023
118,118,"06/24/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"6/2023",0,2023
119,119,"06/24/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"6/2023",0,2023
120,120,"06/24/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"6/2023",0,2023
121,121,"06/27/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"6/2023",0,2023
122,122,"06/27/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"6/2023",0,2023
123,123,"06/27/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"6/2023",0,2023
124,124,"06/27/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"6/2023",0,2023
125,125,"06/27/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"6/2023",0,2023
126,126,"06/28/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"6/2023",0,2023
127,127,"06/29/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"6/2023",0,2023
128,128,"06/29/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"6/2023",0,2023
