idbajaspor,idbajas,IdAlmacen,Fecha,idproducto,Cantidad,Pcosto,Pventa
175,2,2,"12/22/22 00:00:00",17,1,325,500
176,2,2,"12/22/22 00:00:00",17,2,325,500
177,2,2,"12/22/22 00:00:00",20,2,1500,2000
178,2,2,"12/22/22 00:00:00",13,10,135,190
179,2,2,"12/22/22 00:00:00",19,2,160,210
180,2,2,"12/22/22 00:00:00",25,2,5,10
181,2,2,"12/23/22 00:00:00",13,11,135,190
182,2,2,"12/23/22 00:00:00",23,1,17,180
183,2,2,"12/23/22 00:00:00",61,1,28,150
184,2,2,"12/23/22 00:00:00",69,1,24,200
185,2,1,"12/24/22 00:00:00",13,24,135,190
186,2,1,"12/24/22 00:00:00",13,96,135,190
187,2,2,"12/24/22 00:00:00",3,1,45,80
188,2,2,"12/24/22 00:00:00",72,1,200,250
189,2,2,"12/24/22 00:00:00",20,1,1500,2000
190,2,2,"12/24/22 00:00:00",77,2,125,200
191,2,2,"12/24/22 00:00:00",20,1,1500,2000
192,2,2,"12/24/22 00:00:00",18,1,400,700
193,2,2,"12/24/22 00:00:00",61,1,28,150
194,2,2,"12/24/22 00:00:00",13,6,135,190
195,2,2,"12/24/22 00:00:00",25,11,5,10
196,2,2,"12/25/22 00:00:00",3,2,45,80
197,2,2,"12/25/22 00:00:00",15,1,200,250
198,2,2,"12/25/22 00:00:00",20,1,1500,2000
199,2,2,"12/25/22 00:00:00",25,8,5,10
200,2,2,"12/25/22 00:00:00",13,2,135,190
201,2,2,"12/27/22 00:00:00",19,1,160,210
202,2,2,"12/27/22 00:00:00",3,1,45,80
203,2,2,"12/27/22 00:00:00",18,2,400,700
204,2,2,"12/27/22 00:00:00",22,1,24,200
205,2,2,"12/27/22 00:00:00",71,2,300,250
206,2,2,"12/28/22 00:00:00",21,1,70,100
207,2,2,"12/28/22 00:00:00",70,1,350,250
208,2,2,"12/28/22 00:00:00",25,7,5,10
209,2,2,"12/30/22 00:00:00",13,10,135,190
210,2,2,"12/30/22 00:00:00",77,1,125,200
211,2,2,"12/31/22 00:00:00",3,2,45,80
212,2,2,"12/31/22 00:00:00",13,26,135,190
213,2,2,"12/31/22 00:00:00",19,8,160,210
214,2,2,"12/31/22 00:00:00",72,2,200,250
215,2,2,"12/31/22 00:00:00",77,1,125,200
216,2,2,"12/31/22 00:00:00",25,2,5,10
217,2,2,"01/03/23 00:00:00",3,3,45,80
218,2,2,"01/03/23 00:00:00",8,267,70,120
219,2,2,"01/03/23 00:00:00",13,48,135,190
220,2,2,"01/03/23 00:00:00",18,1,400,700
221,2,2,"01/03/23 00:00:00",19,2,160,210
222,2,2,"01/03/23 00:00:00",22,1,24,200
223,2,2,"01/03/23 00:00:00",23,1,17,180
224,2,2,"01/03/23 00:00:00",61,1,28,150
225,2,2,"01/03/23 00:00:00",70,14,350,250
226,2,2,"01/03/23 00:00:00",72,2,200,250
227,2,2,"01/03/23 00:00:00",73,1,400,800
228,2,2,"01/03/23 00:00:00",77,11,125,200
